Product number,Name,Description,unit price,Quantity,total $ per robot
1,9g servo motor,Mini servo Axis3 and gripper,3.50,2,7.00
2,55g servo motor,Standard Servo Axis1 & 2,4.00,2,8.00
3,micro controller,"ESP32 super mini, Dev C board",4.00,1,4.00
4,joystick KY-023,x and y axis with press switch,1.00,2,2.00
5,DC power supply,wall wart style plug 120v to 5V 3A DC,6.00,1,6.00
6,DC Barrel jack,power input,0.25,1,0.25
7,OLED screen,SSD1306 small OLED display,2.50,1,2.50
8,power switch,on/off switch,1.00,1,1.00
9,LED,Red LED Bulb,0.05,1,0.05
10,Resistor R1,220 ohm,0.05,1,0.05
11,Resistor R2,100 ohm,0.05,1,0.05
12,"Resistor R3,R4",4.7k ohm,0.05,2,0.10
13,Capacitor C1,1000uF,0.05,1,0.05
14,"Capacitor C2,3,4,5,6",0.1uf,0.05,5,0.25
15,Schotty Diode D1,1N5822G 40V 3A,0.05,1,0.05
16,JST-XH connectors,"2pc-2pin, 4pc-3pin, 1pc-4pin, 2pc-5pin (male/female)",0.05,9,0.45
17,Phoenix connector,2pin (male/female),0.05,1,0.05
18,PCB,Circuit Board,0.50,1,0.50
19,Wire,20awg 1ft (5V connections),0.50,1,0.50
20,Ribbon Cable,24awg 2ft (3.3V components),0.50,2,1.00
Totals,,,,,33.85

